country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",26-04-2025 18:00:00,24.75746,84.366208,PM2.5,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",26-04-2025 18:00:00,24.75746,84.366208,SO2,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",26-04-2025 18:00:00,25.42742023,86.13886079,PM2.5,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",26-04-2025 18:00:00,25.42742023,86.13886079,PM10,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",26-04-2025 18:00:00,25.42742023,86.13886079,OZONE,3,13,7
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26-04-2025 18:00:00,26.80365,84.51954,SO2,8,16,13
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26-04-2025 18:00:00,26.80365,84.51954,OZONE,22,26,25
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",26-04-2025 18:00:00,25.7808257,84.7446768,OZONE,1,40,22
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",26-04-2025 18:00:00,24.7955,84.9994,SO2,11,16,15
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",26-04-2025 18:00:00,24.792403,84.992416,PM2.5,32,308,126
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",26-04-2025 18:00:00,24.792403,84.992416,NH3,3,8,5
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",26-04-2025 18:00:00,24.792403,84.992416,OZONE,4,69,49
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",26-04-2025 18:00:00,25.697189,85.2459,PM2.5,NA,NA,NA
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",26-04-2025 18:00:00,25.697189,85.2459,OZONE,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",26-04-2025 18:00:00,25.560083,87.553265,NO2,4,16,14
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26-04-2025 18:00:00,16.5150833,80.5181667,SO2,10,16,13
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",26-04-2025 18:00:00,14.675886,77.593027,CO,18,28,23
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",26-04-2025 18:00:00,13.20488,79.097889,NO2,20,21,20
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",26-04-2025 18:00:00,13.20488,79.097889,CO,26,31,28
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",26-04-2025 18:00:00,14.465052,78.824187,OZONE,81,81,81
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",26-04-2025 18:00:00,25.265194,87.012947,NH3,1,4,4
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",26-04-2025 18:00:00,25.265194,87.012947,SO2,4,38,15
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",26-04-2025 18:00:00,25.204762,85.51496,OZONE,15,35,26
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",26-04-2025 18:00:00,25.56752,83.966379,PM10,61,190,111
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",26-04-2025 18:00:00,25.56752,83.966379,SO2,1,9,5
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",26-04-2025 18:00:00,25.56752,83.966379,OZONE,1,11,6
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",26-04-2025 18:00:00,16.509717,80.612222,PM2.5,60,87,71
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",26-04-2025 18:00:00,16.509717,80.612222,PM10,57,86,69
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",26-04-2025 18:00:00,16.509717,80.612222,SO2,11,13,12
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",26-04-2025 18:00:00,16.554731,80.64911,PM10,52,82,62
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",26-04-2025 18:00:00,27.103358,93.679645,OZONE,NA,NA,NA
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26-04-2025 18:00:00,26.10887,91.589544,OZONE,10,20,17
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",26-04-2025 18:00:00,26.1875,91.744194,SO2,30,73,50
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26-04-2025 18:00:00,26.181742,91.78063,PM10,56,231,82
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26-04-2025 18:00:00,26.349082,92.68449,PM2.5,22,500,167
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26-04-2025 18:00:00,16.9872867,81.7363176,SO2,5,13,9
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",26-04-2025 18:00:00,16.9872867,81.7363176,OZONE,4,13,8
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",26-04-2025 18:00:00,13.67,79.35,PM10,25,86,59
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26-04-2025 18:00:00,26.1403345,85.3650192,NH3,3,4,4
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26-04-2025 18:00:00,26.1209,85.3647,SO2,4,7,5
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",26-04-2025 18:00:00,25.586562,85.043586,PM10,80,436,172
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26-04-2025 18:00:00,26.349082,92.68449,SO2,10,15,13
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26-04-2025 18:00:00,26.349082,92.68449,CO,28,78,44
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26-04-2025 18:00:00,26.987634,94.636574,PM2.5,1,59,32
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",26-04-2025 18:00:00,11.654054,92.734055,NO2,8,31,22
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",26-04-2025 18:00:00,22.08815,82.13737,PM2.5,57,155,97
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",26-04-2025 18:00:00,22.118125,83.140608,NO2,10,27,18
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",26-04-2025 18:00:00,22.118125,83.140608,SO2,18,52,28
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",26-04-2025 18:00:00,22.368195,82.746431,NH3,1,1,1
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",26-04-2025 18:00:00,22.368195,82.746431,OZONE,4,24,13
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",26-04-2025 18:00:00,22.12665,83.483212,SO2,4,7,6
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",26-04-2025 18:00:00,22.12665,83.483212,OZONE,8,9,9
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",26-04-2025 18:00:00,22.1910172,83.5197009,PM2.5,40,87,60
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",26-04-2025 18:00:00,22.1910172,83.5197009,NH3,1,2,2
